Epoch  1: Loss=837.0015 | Train Acc=30.51% | Test Acc=27.83%
Epoch  2: Loss=737.3592 | Train Acc=36.87% | Test Acc=38.99%
Epoch  3: Loss=721.8469 | Train Acc=38.30% | Test Acc=40.83%
Epoch  4: Loss=656.2913 | Train Acc=45.51% | Test Acc=51.79%
Epoch  5: Loss=581.8505 | Train Acc=55.20% | Test Acc=58.28%
Epoch  6: Loss=526.5706 | Train Acc=62.04% | Test Acc=63.41%
Epoch  7: Loss=492.7578 | Train Acc=65.98% | Test Acc=66.53%
Epoch  8: Loss=467.2363 | Train Acc=69.13% | Test Acc=68.56%
Epoch  9: Loss=448.9740 | Train Acc=71.46% | Test Acc=68.29%
Epoch 10: Loss=433.4320 | Train Acc=73.25% | Test Acc=73.08%
Epoch 11: Loss=423.3992 | Train Acc=74.33% | Test Acc=72.95%
Epoch 12: Loss=416.6304 | Train Acc=75.11% | Test Acc=73.12%
Epoch 13: Loss=411.0488 | Train Acc=75.83% | Test Acc=71.97%
Epoch 14: Loss=406.3578 | Train Acc=76.41% | Test Acc=64.39%
Epoch 15: Loss=404.2750 | Train Acc=76.62% | Test Acc=75.44%
Epoch 16: Loss=402.6530 | Train Acc=76.82% | Test Acc=73.85%
Epoch 17: Loss=398.3827 | Train Acc=77.40% | Test Acc=71.05%
Epoch 18: Loss=398.7651 | Train Acc=77.31% | Test Acc=73.29%
Epoch 19: Loss=397.2689 | Train Acc=77.57% | Test Acc=71.86%
Epoch 20: Loss=396.7419 | Train Acc=77.51% | Test Acc=74.08%
Epoch 21: Loss=396.3680 | Train Acc=77.69% | Test Acc=60.38%
Epoch 22: Loss=395.2240 | Train Acc=77.75% | Test Acc=72.84%
Epoch 23: Loss=392.1814 | Train Acc=78.02% | Test Acc=71.94%
Epoch 24: Loss=392.8936 | Train Acc=78.07% | Test Acc=75.86%
Epoch 25: Loss=392.5019 | Train Acc=77.98% | Test Acc=72.32%
Epoch 26: Loss=390.5946 | Train Acc=78.41% | Test Acc=68.62%
